Rank,Team,G,W.L,TDs,PAT,X2PT,Def.Pts,FG,Saf,Pts,PPG
168,"Bethany (WV) (Presidents AC)	10	3-7	33	20	0	0	3	0	227	22.7
169	Loras (IIAC)	10	1-9	31	22	5	0	2	1	226	22.6
170	Hiram (North Coast)	10	3-7	31	24	1	0	4	0	224	22.4
171	Millikin (CCIW)	10	4-6	31	23	0	0	4	1	223	22.3
172	Eureka (UMAC)	10	8-2	30	20	1	0	6	1	222	22.2
173	Catholic (ODAC)	10	3-7	30	23	1	0	3	1	216	21.6
173	Knox (Midwest Conference)	10	2-8	28	20	2	0	8	0	216	21.6
175	Lycoming (Middle Atlantic)	10	3-7	29	21	1	0	4	1	211	21.1
175	Plymouth St. (MASCAC)	10	6-4	28	17	2	1	6	1	211	21.1
177	Simpson (IIAC)	10	3-7	26	19	0	1	11	0	210	21.0
177	Ursinus (Centennial)	10	2-8	26	22	0	0	10	1	210	21.0
179	Northwestern-St. Paul (UMAC)	11	9-2	31	29	1	0	4	0	229	20.8
180	Capital (Ohio AC)	10	4-6	30	20	3	1	0	0	208	20.8
180	Mass. Maritime (MASCAC)	10	4-6	29	20	1	0	4	0	208	20.8
182	Kalamazoo (Michigan Intercol.)	10	3-7	26	22	0	0	8	2	206	20.6
182	Defiance (HCAC)	10	5-5	31	15	1	0	1	0	206	20.6
182	Ohio Wesleyan (North Coast)	10	6-4	28	25	2	0	3	0	206	20.6
185	Kenyon (North Coast)	10	3-7	27	24	0	0	6	0	204	20.4
185	Becker (Eastern Collegiate Football Conference)	10	3-7	27	23	1	0	5	1	204	20.4
187	McDaniel (Centennial)	10	3-7	27	23	0	0	6	0	203	20.3
188	Willamette (Northwest)	10	3-7	29	14	4	0	2	0	202	20.2
189	MIT (CCC Football)	10	3-7	23	17	3	0	12	1	199	19.9
190	Castleton (Eastern Collegiate Football Conference)	10	4-6	27	18	0	0	6	0	198	19.8
190	Ithaca (Empire 8)	10	5-5	27	22	0	0	4	1	198	19.8
192	Kean (NJAC)	11	7-4	26	19	1	0	12	2	217	19.7
193	Ripon (Midwest Conference)	10	2-8	29	17	3	0	0	0	197	19.7
194	St. Olaf (Minn. Intercol.)	10	2-8	26	18	2	0	6	0	196	19.6
195	Lawrence (Midwest Conference)	10	3-7	26	18	3	0	5	0	195	19.5
195	Augustana (IL) (CCIW)	10	3-7	24	22	1	0	9	0	195	19.5
195	Trinity (TX) (SCAC)	10	5-5	26	24	0	0	5	0	195	19.5
198	Lebanon Valley (Middle Atlantic)	10	4-6	27	23	0	0	3	0	194	19.4
199	Grove City (Presidents AC)",10,0-10,27,19,0,0,4,0,193,19.3
200,Union (NY) (Liberty League),10,3-7,26,21,0,0,5,0,192,19.2
201,Mount Ida (Eastern Collegiate Football Conference),10,4-6,26,19,1,0,4,1,191,19.1
202,Norwich (Eastern Collegiate Football Conference),10,5-5,24,21,0,0,7,2,190,19
202,FDU-Florham (Middle Atlantic),10,2-8,27,15,5,0,1,0,190,19
204,Anderson (IN) (HCAC),10,1-9,25,20,1,0,3,1,183,18.3
204,Rowan (NJAC),10,6-4,22,21,0,0,10,0,183,18.3
206,Howard Payne (American Southwest),10,0-10,24,15,2,1,5,0,180,18
207,Allegheny (North Coast),10,1-9,23,20,1,0,4,0,172,17.2
207,Worcester St. (MASCAC),10,3-7,23,19,0,0,5,0,172,17.2
